Category,Resume
Java Full Stack Developer,"Ability: Java Full Stack Developer, Java, J2EE, Servlets, JSP, Java Beans, JDBC, EJB Web Services, SQL, Oracle, MS SQL Server, MYSQL, DB2, HTML 4/5, CSS 2/3, JavaScript, XML, jQuery, Struts, Spring, Spring Boot, Hibernate, JavaScript, AngularJS, Web services SOAP, SOP, Restful, XML, WSDL, SOAP, DOM, CSS, HTML, JAVASCRIPT, AJAX, WebSphere8.0, Apache Tomcat, WebLogic 8.x/7.x, Jboss, Eclipse, RAD, Jdeveloper 9.0, Teradata, Visual Studio, Net Beans, Windows NT/XP/2000, Unix, Linux, Redhat Linux, Mac OS, UNIX, CVS, Perforce, Clearcase, SVN, Subversion, GIT, Junit, Mockito, Maven, ANT, Gradle, Jenkins, JIRA
Education: B Tech in EEE@JNTU
Experience: Java Full Stack Developer@Wyndham Destinations | Sr. Java Developer@Expedia | Sr. Java Developer@American Express | Java Developer@IndoGlobal health Sciences | Java/J2EE Developer@HSBC
Skill: Core Java, J2EE, Spring 4.x, Hibernate, JSP, Restful Web Services, Spring Boot, AJAX, SQL, XML, JSON, HTML, Angular JS, CSS, Java Script, Log4j, Sonar Qube, GTM, Maven, Apache Tomcat, Oracle DB, GIT, Eclipse, Spring, Spring Boot, Spring MVC, CSS, Hibernate, Struts2, HTML5, JavaScript, JSP, JSTL, Junit, Oracle 11g, Log4j, Maven, Ant, Gradle, XML, Windows, JQuery, Java, J2EE, Spring, Hibernate, Spring MVC, Spring IOC/Dependency Injection, Struts2, Maven, Junit, Agile/Scrum, JPA, JDBC, JMS, JAXB, DB2 Server, SQL Developer, Log4j, REST and SOAP Web Services, AngularJS, Maven, Jboss Server, JBoss Developer Studio, GIT, Jenkins, Ant, Windows, J2EE, JSP, JQuery, JSTL, MVC Design, HTML, SQL Server, Struts, Hibernate, HTML, XML, AIX/Unix, XML Spy, CVS, WebSphere Application Server (WAS), Sonar, CSS, web services, RQM, RSA, Clear Case & Clear Quest, Java, JDBC, Servlets, Struts, JSP, Hibernate, Java Mail API, AJAX, ANT, HTML, JavaScript, CSS, XML, ANT, Log4J, SVN, RAD, WebSphere, Putty, TOAD, Oracle 9i/10g"
Java Developer,"Ability: Designed, Tested, Enhanced, Analyzed, Estimated, Coded, Revision Control, Client-side validation, JDBC connection pooling, Logging, Registration servlet, Spring MVC, Hibernate, JSP, JSTL, Middleware development, Spring Beans, Hibernate features, User interface development, Application logging, Unit testing, Optimize, Collaborate, Provide support, Recommend, Create workflow, Project planning, Performance testing, Regression testing, Coordinate, Spearhead, Agile Methodology, MVC Architecture, Business Logic, IOC/DI, ORM, Dynamic SQL, UI development, Unit testing, Maven, Multi-threading, Custom JSP tags, DAO design pattern, MVC architecture, Custom Logging framework, SQL, Stored procedure, PL/SQL, Hibernate, Session beans, JDBC
Experience: Java Developer@Western Health Advantage | Sr. Business Systems Analyst/Functional SME@CVS Health | Java/J2EE Developer@SutterHealth | Java/J2EE Developer@AccessoryGeeks | Java Developer@Acumen Building Enterprise
Skill: Java, HTML5, CSS3, jQuery, JavaScript, SVN, JDBC, Log4j, Spring MVC, Hibernate, JSP, JSTL, JUnit, EDI, NCPDP, HIPAA, Healthcare regulations, Project planning, Performance testing, Regression testing, Java, J2EE, Spring MVC, Hibernate, SQL Server, HTML, CSS, JSP, JavaScript, JUnit, Maven, Java, Servlets, JSP, JDBC, SQL, HTML, Spring MVC, Oracle, JUnit, Log4j, Java, Servlets, JDBC, SQL, HTML, CSS, JSP, JavaScript, Apache Tomcat, MySQL, JUnit"
Sr. Java Developer,"Ability: Requirement analysis, Design, Development, Implementation, Software applications, OOP Concepts, Java 8, Java EE, Web Services, HTML, JavaScript, AngularJS, AJAX, Jenkins, JMS, Maven, Log4J, Oracle Web Center Suite, XML, Apache Tomcat, JBoss, Pair Programming, Test Driven Development, Waterfall model, Agile methodologies, SCRUM, KANBAN, MVC, Struts Framework, Spring Framework, Java Server Faces, ORM, Hibernate, AWS, Identity Access Management, Security Groups, Design patterns, Multi-threading, Java collections, Threads, J2SE, JDBC, Struts, Spring, Hibernate Framework, RESTful web services, Application Servers, Software Development Life Cycle, Object Oriented Programming, Service Oriented Architecture, REST web services, Databases, PL/SQL, XML processing, UML, Version control, Spring boot, Spring batch
Education: Bachelor's in Information and Assurance@Wilmington University
Experience: Sr. Java Developer@SunTrust Bank Inc | Sr. Java Developer@Macrosoft | Java Developer@Guttenberg Information Technologies Center | Java Developer@Liberty Mutual Insurance | Java Developer@United Services Automobile Association
Skill: Java 8, Java EE, Servlets, JSP, JDBC, JNDI, EJB, Web Services, SOAP, WSDL, Axis, HTML, JavaScript, AngularJS, AJAX, Jenkins, JMS, Maven, Log4J, Oracle Web Center Suite, XML, Apache Tomcat, JBoss, Pair Programming, Test Driven Development, Waterfall model, Agile methodologies, SCRUM, KANBAN, MVC, Struts Framework, Spring Framework, Java Server Faces, ORM, Hibernate, Spring IOC, Spring DAO, Spring Web flow, Spring Security, Spring MVC, Spring AOP, AWS Elastic Block Storage, AWS Identity Access Management, Security Groups, Struts, Hibernate, Design patterns, Multi-threading, Java collections, Threads, J2SE, JDBC, Struts, Spring, Hibernate Framework, RESTful web services, Apache Tomcat, JBoss, IBM RAD, WebSphere, WebLogic, Sun Glass fish, Eclipse, Net Beans, RAD, WID, Software Development Life Cycle, Object Oriented Programming, Service Oriented Architecture, REST web services, Oracle, DB2, MySQL, PL/SQL, SQL*Plus, Database triggers, Procedures, Functions, DOM4J, JAXB, JAXP, XML Bean, UML, Rational Rose, CVS, GIT, Microsoft visual SourceSafe, Subversion, Spring boot, Spring batch, JSP, OOAD, Design patterns, Factory method, Singleton, Adaptor, Template, Spring, Hibernate, Spring IOC, Dependency Injection, Custom MVC Frameworks, Struts, Eclipse, Spring STS IDE, Hibernate, Java collections, Lists, Sets, Maps, JSF, JavaScript, jQuery, HTML5, JDBC API, Data source, JNDI, Oracle 11g, JUnit, Log4J, Maven, Apache Webserver, Linux, Windows, MS Visio, MS Office, MS Project, Software Development Life Cycle, Requirements Specification, Design documents, Test cases, Waterfall, Agile methodology, Use cases, Interaction diagrams, Class diagrams, HTML/CSS, jQuery, JavaScript, IntelliJ, J2EE, Struts MVC, Struts Tiles, HTML, JSP, MVC, jQuery, AJAX, Web Services, Team Foundation Server, Agile project management, Sprint Planning Meetings, Scrums, Servlets, Java Server Pages, Enterprise Java Bean, JDBC, Oracle, WebLogic Application Server, Eclipse, ANT, SDLC, Requirements gathering, Analysis, Design, Development, Testing, Agile Model, Eclipse IDE, JIRA, Spring MVC, Hibernate, Spring Integration, Hibernate entities, Inheritance strategies, Hibernate criteria Query, Spring JDBC, SQL queries, RESTful webservices, JAX-RS, Spring AOP, Spring DAO, JDBC template, WebSphere 8.5, RAD 7.5, Struts, Spring MVC, Spring AOP, Postman, Nachos Operating System, Java multithreading, Process scheduler, Memory & I/O managers, CVS, Eclipse, Threads, JAX-RS, Jersey Framework, JSP, Servlets, Web Services, JavaScript, WebLogic, TIBCO Streambase, TIBCO LiveView Datamart, Lambda expressions, APIGEE, Spring Boot, Spring JDBC, Oracle, Chef, Ansible, AWS, Amazon EC2, Spring annotations, Spring XML configuration, Dependency Injection, Apache TOMCAT, Pivotal Cloud Foundry, Maven, Spring Inversion of Control, Autowired Pojo, DAO classes, Spring Controllers, Log4j, GIT, JUnit, HTML5, CSS3, JavaScript, JQuery, JIRA, Test Driven Development, Bootstrap, HTML, JSP, JSF, JavaScript, CSS, AngularJS, Directives, Data-Binding, Dependency Injection, CRUD Rest Operations, Grid, Search, Sort, Pagination, Multi-selection, Tags-input, Advanced directives, Authentication, Server-side proxy, Slide pages, User switch, TIBCO JMS, TIBCO EMS, PCF, CF push, Urban code deploy, SOAP UI, APIGEE trace tool, Spring Security, Password hashing, Java Message Service API, Hibernate, Hibernate Transaction Management, Hibernate Batch Transactions, Hibernate cache, Spring MVC, RESTful web services, Spring Boot, Spring Cloud, Netflix Components, Hadoop Cluster, HBase, Cassandra, Kubernetes, JMS API, Spring IOC, Dispatcher Servlets, Controllers, Model, View Objects, View Resolver, Docker, Jenkins, Artifactory, Ansible, GIT, RBAC, PCF, Hibernate, Rest architecture, JAX-RS, Jersey, JBoss, Log4J, Maven, GIT, JUnit, Mockito, Ansible, Chef, Puppet, Oracle10g, Tomcat, Selenium, JENKINS"
Sr. Full Stack Java Developer,"Ability: Software design and development, Java, J2EE, UI Development, Test-Driven Development, Agile-Scrum Development, Windows and UNIX platforms, UNIX Shell Scripting, J2EE best practice toolsets, Ant, Maven, Log4j, Slf4j, Object/Relational bridge technologies, Hibernate, JPA, Spring, Struts, Spring MVC, JDBC, Servlets, JSP, JSTL, JMS, Multithreading, Web Services, Service Oriented Architecture (SOA), HTML, DHTML, XHTML, CSS, JavaScript, DOJO, AngularJS, Angular 4, AJAX, Model-View-Controller (MVC) architecture, Design patterns, J2EE design patterns, Data Access Object, Business Delegate, Service Locator, Session Façade, Performance tuning in JAVA and J2EE, Hibernate tuning, Configuration Management tools, CVS, GIT, SVN, ANT, Maven, Amazon Web Services (AWS), Open stack, Docker, Puppet, Chef, Ansible, AWS Cloud Formation, AWS Cloud Front, Pivotal Cloud Foundry (PCF), Micro services, XML, XSD, DTD, XSLT, XPATH, DOM, SAX, JAXP, JAXB, XML-RPC, XML Beans, Web services, DTD, XSD, SOAP, WSDL, JAX-RPC, JAX-WS, WS-I, Apache Axis, JAX-RPC, Restful Web Services, IDE Tools, Eclipse, NetBeans, JBuilder, Rational Application Developer(RAD), MQ-Series, JMS, IBM Web Sphere 6.x/5.x, Apache Tomcat 5.x/6.x, JBOSS 5.x/4.x, AWS Lambda, Databases, Oracle, MySQL, Unit testing, JUnit, Selenium, Windows XP/7/8, AIX, Sun Solaris, PL/SQL, Triggers, Tables, Functions, User defined data type, Procedures, Oracle, DB2, MySQL, SQL Scripts, Stored Procedures, Eclipse, RAD 7.5/8.5, Application Life Cycle Management, Unit testing, Application integration testing, Configuration tool, CVS, Clear Case, Tortoise SVN, Linux, Windows, REST Client, REST API, SOAP UI, dozer mapper, HTML, CSS, JQuery, AngularJS, JavaScript, JSP, JSON
Education: Bachelors in Computer Science and Engineering in Computer Science Engineering@Stanford University
Experience: Sr. Full Stack Java Developer@Diaspark Inc | Sr. Java Developer@Doylestown, PA | Full Stack Java Developer@Diaspark Inc | Full Stack Java Developer@Genuent, LLC | Java Developer@Reston, VA
Skill: Java, J2EE, Spring, Hibernate, Web Services, JAXRS, Mockito, WADL, SOAPUI, JSP, JDBC, JQuery, AJAX, Html, CSS, AngularJS, Maven, log4j, Oracle, MySQL, PL/SQL, SQL Developer, JIRA, JMS, APACHE AXIS, Source Tree, IntelliJ, GIT, UNIX, AGILE-SCRUM, Java 1.7, AngularJS 1.3, Ext JS, HTML5, CSS3, AWS, JSON, JavaScript, XMI, Maven 2, Eclipse Kepler, Eclipse Juno, XML, Silk SVN, Tortoise SVN, PCF, SQL Developer, Spring MVC, Oracle DB, Grunt, Jasmine, Java/J2EE, Core Java, Jdk1.6, Spring, Hibernate, Webservices, JAXRS, Mockito, WADL, SOAPUI, JSP, JDBC, JQuery, AJAX, Html, CSS, AngularJS, Maven, log4j, Oracle, MySQL, PL/SQL, SQL Developer, JIRA, JMS, APACHE AXIS, Source Tree, IntelliJ, GIT, UNIX, AGILE-SCRUM, Java/ J2EE, JSP, CSS, JavaScript, AJAX, Hibernate, Spring, XML, EJB, Web Services, SOAP, Eclipse, Rational Rose, HTML, XPATH, XSLT, DOM, JDBC, Core Java, SQL (DB2), Design Patterns, Spring, OOPS/OOAD (UML), XML, Hibernate, DOJO 1.5, Eclipse IDE, Tortoise SVN source control, Bugzilla, Autosys, Aqua Studio, Cygwin"
Job Seeker,"Ability: Knowledgeable Java Developer, Implementing applications using JavaEE, Servlet, JSP, Thymeleaf, spring, and Hibernate, Microservice, RESTful services, Relational non-relational databases, Building web services through complete software development lifecycle, Design Patterns, Excellent team player, Collaborating with diverse cross-functional teams, Designed web application to manage course scheduling, Created more than 16 Use Cases, Developed database and user interface, Created airline ticket reservation system, Cooperated with 4-person team, Designed and developed process-oriented web applications, Worked on a large web services integration project, Created quality Java code based on requirement specifications, Developed multiple UI features of customer support system, Used JQuery and AJAX to transfer information to interconnected forms, Developed single page and Multiple pages web applications for Customer Resource Management system, Implemented the business logic and data accessing codes in separate layers, Mapped objects to a relational database entities(MYSQL) in a programmatic transaction using JPA, Successfully Developed microservices and integrated them using Spring Cloud and JMS, Conducted troubleshooting, debugging and upgrading of an existing Inventory Management system, Undergone features test and integration test among subsystems using Junit and Mockito, Designed, developed and deployed an E-guard system to collect current data of remote telecom sites, Developed RESTful webservices using Spring, Implemented method level and URL level token-based authentication using spring security, Implemented MVC design pattern to separate / decouple UI from business logic and DAO pattern at data access layer, Created employee leave management subsystem and per diem requesting module, Developed task management web application that streamlined IT department operations and reporting, Designed Database schema and implemented itusing MySQL, Participated in requirement gathering and analysis, Designed class diagrams and created use cases, sequence diagrams, and collaboration diagrams, Increased sales of telecommunications services by 40%, Increased customer satisfaction by introducing modern customer support system, Streamlined business processes by automating Inventory Management System, Enhanced user satisfaction by developing and integrating Billing management process module, Reduced paper waste by more than 80%, Delivered significant savings by avoiding overstocking of products and outages, Improved telecom sites monitoring trend and hence avoided sabotage of fuels and performance of Generators and Batteries
Education: Master of Science in Computer Science@Maharishi University of Management | Bachelor of Science in Computer Science@Hilcoe School of Computer Science | Bachelor of Science in Electrical Engineering@Bahir Dar University
Experience: Java Developer@ETHIO TELECOM | Airline Ticket Reservation System@Maharishi University of Management | MUMSched App@Maharishi University of Management
Skill: Java, JavaScript, Spring, Spring Data, web services, RabbitMq, JMS, XML, SQL, JQuery, HTML5, CSS, Servlet, Tymleaf, JSP, AJAX, JSON, MongoDB, SQL, MySQL, Glassfish, Tomcat, MS Access, Eclipse, NetBeans, Visual Studio, Atom, IntelliJ IDEA, Star (UML Modeling Tool), JUnit, MVC, Singleton, Factory Method, Iterator, Composite, Windows, Java, RabbitMQ, AMQP, Spring ORM, Spring Tool Suite, RESTful Web Service, Java, JavaScript, Boot Strap, Spring Tool Suite, Maven, Apache Tomcat, Spring MVC, Hibernate, Spring Security"
Sr. Java Developer,"Ability: SDLC experience in Design, Development, Deployment and testing of Enterprise Applications, Worked on new features of Java 7 annotations, Generics, enhanced for loop, Enums and Lambda expressions, Experienced working in projects involving Agile, Scrum, Test First Development, Extensive adaptiveness in web application development using Spring, Hibernate, SOAP, RESTful, AJAX, XML, Drools, HTML5, JavaScript, Angular 4, ReactJs and Bootstrap, Substantial experience in Service Oriented Architecture (SOA) using Web Services such as SOAP using Apache CFX, RESTful using Jersey and Jackson, Skillful ability in using Spring 4.x(Dependency Injection, Spring MVC, Spring Security Spring JDBC, Spring Mobile, Spring REST, Spring Boot) and Object Relational Mapping frameworks (ORM's) like Hibernate with mapping of persistent classes and usage of Hibernate Query Language, Developed reusable and interoperable Web service modules based on SOA architecture using SOAP, RESTFUL, Extensively used different Tag Libraries like JSF Tags, Struts Tags, JSTL, Spring Tags, Spring EL, Display Tag, Experienced in Client-side validation, Client-Server data interactionusing Ajax in Nodejs, Developed core modules in large cross-platform applications using JAVA, J2EE, Hibernate, JSP, Servlets, JDBC, JavaScript, Ajax, JQuery, XML, and HTML, Technically savvy in using multiple RDBMS like IBM DB2, Oracle 9i/10g/11i, SQL Server and MySQL, Sweeping proficiency in using version controls such as SVN and GIT, Experience in database modeling, design and development of PL/SQL stored procedures, packages in relational databases: Oracle 10g/11g, IBM DB2, MySQL, Sybase, SQL Server 2000, MongoDB, Expertise in software configuration management using CVS, SVN and IBM Clear Case. Hands on experience with build tools like ANT, Maven and logging tools like Log4J, Developing applications using various servers including Apache Tomcat, IBM WebSphere, BEA WebLogic and JBoss Application Server, Experienced in developing UNIX Shell Scripts for batch processing
Education: Bachelor's in architecture@Bachelor's in architecture
Experience: Sr. Java Developer@T-Mobile | Sr. Java Developer@FedEx | Java Developer@Penn National Gaming | Java Developer@First Data Corporation | Java App Developer@SunTrust Bank
Skill: Java, J2EE, Hibernate, JSP, Servlets, JDBC, JavaScript, Ajax, JQuery, XML, HTML, IBM DB2, Oracle 9i/10g/11i, SQL Server, MySQL, SVN, GIT, ANT, Maven, Log4J, Apache Tomcat, IBM WebSphere, BEA WebLogic, JBoss Application Server, UNIX Shell Scripts, JQuery, CSS, HTML, JSP, Oracle, JSON, JSF, Spring, Hibernate, Spring Batch, Bootstrap, SOAP UI, GIT, REST, JPA, Shell Scripting, JBoss, Cucumber, Maven, TestNG, Jenkins, Cassandra DB, Java, J2EE, Spring framework, Spring MVC, Spring AOP, Spring ORM, Hibernate, JSP 2.0, Angular JS, Web services, XML, AWS, Pivotal Cloud Foundry, JQuery, Log4j, JavaScript, Oracle 10g, WebLogic, Apache Maven, HTML 5, karma, Jasmine, JUnit, Jenkins, HTML5, CSS3, React JS, Babel, Spring Boot, Spring AOP, Spring IOC, Hibernate, NodeJS, Webpack, JSON, Jenkins, GIT, Docker, Nexus, Mongoose, MongoDB, Chai, Webpack, Mocha, Selenium, Core Java, J2EE 1.3, JSP 1.2, Structs, Spring IOC, EJB 2.0, Struts 1.1, JDBC 2.1, Oracle 8i, UML, JMS, XML, Web Logic 7.0, MVC Design Pattern, Eclipse 2.1, Log4j, JUnit"
Full Stack Java Developer,"Ability: Java, J2EE, Hibernate, Spring, Microservices, Angular, AWS, Docker, Kubernetes, Agile, TDD
Experience: Full Stack Java Developer@United HealthCare | Full Stack Java Developer@Mastercard | Java/J2EE Developer@Computer Sciences Corporation | Java/J2EE Developer@Netsmartz House | Java Developer@4SquareLogic
Skill: Java, J2EE, Hibernate, Spring, Spring Boot, Microservices, JSP, Servlets, JavaScript, jQuery, Maven, Angular, Log4J, REST, SOAP, WSDL, HTML5, XML, XSLT, Jenkins, SVN, Oracle, Unix, Bootstrap, AWS, EC2, Junit, EasyMock, Docker, Kubernetes, SoapUI, Postman, Git, SQL, HQL, Oracle SQL, Microsoft Visio, Kafka, Java, Agile Methodology, Microservices, Spring IOC, Spring MVC, Drools, Spring Boot, Spring Cloud, Spring Batch, Spring Security, HTML5, CSS3, Node.js, Bootstrap, AngularJS, JSTL, jQuery, AJAX, AWS, EC2, S3, Hibernate, Restful API, JIRA, RabbitMQ, MAVEN, JUnit, Log4J, GIT, Java, J2EE, JSP, JSF, JSTL, Servlets, Hibernate, Spring MVC, Spring Security, MySQL, SQL, MySQL, DB2, WebLogic Application Server, JMS, XML, JavaScript, JQuery, SOAP, UML, SVN, JUnit, Log4J, Gradle, TDD, JMeter, Java, J2SE, JSP, Servlets, JAXB, XSLT, DOM, XML, Spring, Web Services, JNDI, J2EE, RSA, JBoss6.0, Rational Rose, CVS, Log4J, Oracle9i, gradle, Junit, Jenkins, Junit, Rational Rose, JavaScript, DHTML, Java, TDD, Struts 1.3, EJB 3.0, Jquery, JSP, HTML, CSS, Servlets, SOAP, WS-Security, JMS, MQ, Eclipse, SVN, Ajax, JNDI, JBoss, Selenium WebDriver, Junit"
Java Full Stack Developer,"Ability: Java, J2EE, Object oriented programming, Design and development, Multi-Tier distributed, Enterprise applications, Servlets, JSP, JSF, EJB, Struts, Spring, Hibernate, JPA, JDBC, JNDI, JMS, XML, XSLT, JAX-WS, JAXB, SOAP/REST Web Services, WSDL, JAXB, JAAS, Spring IO, Spring JDBC, Spring AOP, Spring JTA, Spring MVC, Spring IOC, Spring Boot, GIT, CVS, SVN, UML, Rational Rose, HTML 4.0/5.0, CSS, CSS3, JavaScript, JQuery, Sencha touch, Ajax, JSON, Knockout.js, Angular.js, Backbone.js, Docker, Jenkins, GIT HUB, HBase, Cassandra, JUnit, UNIX, LINUX, UNIX Shell Scripting, Oracle, SQL Server, MY SQL, DB2, SQL, PL/SQL, Apache ANT, HTML5.0, Angular2/4, Servlet, log4J, Maven4.0, Drupal, REACT, REDUX, Weblogic12c, SQL Server 2008, node.js, angular.js, Bootstrap, MySQL, DB2, Quartz, Cron
Education: nan@nan
Experience: Java Full Stack Developer@BCBS | Java/J2EE developer@Walmart | Java Developer@Coca Cola | Java / J2EE Developer@Zyion | Java / J2EE Developer@Bank of Baroda
Skill: Java, J2EE, Servlets, JSP, JSF, EJB, Struts, Spring, Hibernate, JPA, JDBC, JNDI, JMS, XML, XSLT, JAX-WS, JAXB, SOAP/REST Web Services, WSDL, JAXB, JAAS, Spring IO, Spring JDBC, Spring AOP, Spring JTA, Spring MVC, Spring IOC, Spring Boot, GIT, CVS, SVN, UML, Rational Rose, HTML 4.0/5.0, CSS, CSS3, JavaScript, JQuery, Sencha touch, Ajax, JSON, Knockout.js, Angular.js, Backbone.js, Docker, Jenkins, GIT HUB, HBase, Cassandra, JUnit, UNIX, LINUX, UNIX Shell Scripting, Oracle, SQL Server, MY SQL, DB2, SQL, PL/SQL, Apache ANT, HTML5.0, Ajax, JQuery2.0, JavaScript, Angular2/4, Servlet, JSP, Spring4.0, Hibernate4.0, SOAP/REST based Web services, log4J, Maven4.0, JUnit4.0, GIT, Eclipse, Drupal, REACT, REDUX, UNIX, Weblogic12c, SQL Server 2008, SQL Developer Client tool, Source Tree, Git Hub, Sublime tool, node.js, angular.js, Bootstrap, MySQL, DB2, Quartz, Cron, JSP, HTML, XML, CSS, Java Script, AJAX, Action Servlets, Struts Framework, spring frame work, JQuery, CORE JAVA, Generics, Templates, Interfaces, DAO, SCRUM, Agile, Spring MVC, IOC, AOP, Hibernate Query Language, SQL, PL/SQL, log4j, WebLogic Application server, J-Unit, CVS, Spring MVC, JSP, JSTL, CSS, Ajax, Servlets, Core Java, Spring IOC, Hibernate DAO, XML, Multi-threading, JMS, MQ, Spring batch framework, SVN, Angular JS, Spring Framework, JSP, JDBC, Object oriented Design, Spring Boot, Open Shift, Unix Scripting, Jenkins, SOAP, REST, JUnit, ORACLE, Hibernate, Maven, Tomcat Server, Spring tool suite, JAX-WS, JAXB, SVN, jQuery, HTML 5, XML"
Sr. Java Developer,"Ability: Java, Python, Ruby on Rails, R, C, C++, CUDA, Spring Framework, Spring MVC, AJAX, HTML, CSS, JavaScript, JQuery, JSON, XML, Bootstrap, Apache, Spring Framework, Hibernate, Eclipse, MySQL Workbench, Android Studio, Struts 2, Spring JSF, Angular 2.0, Angular 4.0, Bootstrap, JUNIT, Tensor flow, Sublime, Netbeans, Eclipse, Jenkins, Log4j, Maven, AWS, ANT, MSSQL Server, MySQL, Windows, Apache Tomcat, REST Web API, Spring Boot with Microservices, Singleton, Adapter, Factory, MVC, Façade, Repository, MVC3, DAO, JUNIT, GIT, AGILE, Waterfall, Multithreading, Collections, Serialization, JDBC, Hibernate, Servlets, JSP, Tag Libraries, JDBC, Java J2Ee, Spring, Java, Hibernate
Experience: Sr. Java Developer@Great Lakes Health Connect | Java Developer@Highlight Industries | Java Developer@Ramrobazaar | Java Developer@Nepal Life Insurance Company - NP
Skill: Java, J2EE, JSF, Microservices, HTML5, CSS3, Javascript, jQuery, AJAX, Node.js, Angular 4.0, Restful Web Services, AWS, Java, J2EE, JSF, Microservices, HTML5, CSS3, Javascript, Node.js, Angular.js, Restful Web Services, Java, Spring Framework, Hibernate, REST APIs, Cassandra, MongoDB, JAXB, Core Java, Maven, Jenkins, Java, Spring MVC, Hibernate, SQL, JUNIT, HTML, CSS, JSP, Javascript, jQuery, JSON, SOAP, WSDL, JAX-WS"
Java Developer,"Ability: Java, J2EE, Cucumber, Design Patterns, Git, Object Oriented, Hibernate, Spring
Education: Master's in Information System@Illinious state University | Bachelor's in Mechanical Engineering@Christ University Bengaluru
Experience: Java Developer@Amazon | Java Developer@McDonald's Corporation | Java Developer@Amdocs | Java Developer@Accenture
Skill: Java, J2EE, Spring, Hibernate, Microservices, REST, Kafka, Cassandra, Junit, Agile, Java, Spring Boot, Microservices, REST, React, Node.js, MongoDB, Docker, AWS, Java, Spring, Hibernate, Scala, Play Framework, Angular, Kafka, Cassandra, Microservices, Java, Spring, Hibernate, Microservices, REST, Node.js, React, Redux, Selenium"
Java/J2EE Developer,"Ability: Web & Client-Server application development and design, Object Oriented Programming, J2EE technologies, Designing, developing and deploying applications using J2EE technologies, JSP, Servlets, EJB, JSTL, Struts, Spring, AJAX, JDBC, JNDI, Java Beans, Hibernate, Web Services and RDBMS, Model2 (MVC) architecture and Jakarta Struts/Tiles, Jakarta Apache frameworks like Struts, Spring, ANT, JUnit and Log4J, Front-End technologies like JavaScript, Angular JS, CSS, and HTML, Object Relation mapping using Hibernate, Entire system life cycle (SDLC) including Analysis, Design, Programming, Building, Testing, Debugging, Maintenance and Enhancements of multi-tier, database driven J2EE applications, Enterprise Java Beans (EJB) that include Session Beans, Message Driven Beans (MDB) and Entity Beans, Core java technology which includes Multithreading, JDBC, RMI, network programming, Eclipse, NetBeans, IntelliJ IDEs, Functional usage and deployment of applications in JBoss, WebLogic, WebSphere and Apache Tomcat Server, Database connectivity (JDBC) for databases like Oracle, DB2, SQL Server, MySql, and MS Access, Test driven development using JUnit and Struts Test Case, Web Services using SOAP, WSDL, XPath, JAXRPC, XML Binding, J2EE standard and compatible application servers BEA Weblogic & IBM Web Sphere and also used IBM Message broker for disparate applications, XML Suite of Technologies (XML, XSL, XSLT, DTD, XML Schema, SAX, DOM), Analytical capabilities and good communication skills, Ability to quickly adapt to new environments and learn new technologies
Education: Bachelors in Engineering in Engineering@JNTU
Experience: Java/J2EE Developer@Protech Solutions Inc | Java/J2EE Developer@Assurant | Java/J2EE Developer@JP Morgan Chase | Java/J2EE Developer@MedicAlert Health
Skill: Java, J2EE, Servlets, Jsp, JQuery, Angular JS, Spring 2.5, Spring MVC, Spring Security, Spring Batch, Struts1.1, Hibernate3, Web services, XML, XSD, Agile, Web Logic 9.x, JSP, JUnit, UML, Eclipse, IBM RAD v9.6, SQL, PL/SQL, Maven, SVN, HTML, CSS, SQL Developer, Oracle 10g/12c, UNIX, Java, J2EE, Servlets, Jsp, JQuery, Spring 2.5, Spring MVC, Spring Security, Spring Batch, Struts1.1, Hibernate3, Web services, XML, XSD, Agile, Web Logic 9.x, JSP, JUnit, UML, Eclipse, SQL, PL/SQL, Maven, SVN, HTML, CSS, SQL Developer, Oracle 10g, Java 1.6, J2EE, JSP, Servlets, SOAP webservices, Apache Axis2, Spring 3.0, Hibernate 3.0, XML, XSD Schema, PL/SQL, Apache Tomcat, Agile methodology, Oracle WebLogic 10.0 Server, Oracle 10g, Apache ANT, Unix, Junit 4.0, Java 1.5/1.6, Spring MVC, JDBC, JSF, REST, Hibernate 3.0, Core Java, Selenium, SQL, GWT, DOJO, Oracle 10g, Eclipse, PL/SQL, Windows XP, Apache Ant, Swing, ExtJS 3.0, MQseries, web Logic 9.1, J Unit"
